4.68,0.707624890446976,9.53,0.438577586206897,Master_and_Above
5.45,0.992813321647677,7.11,0.640086206896552,Master_and_Above
8,0.564241893076249,8,0.21264367816092,Master_and_Above
4.12,0.774057843996494,6.34,0.573635057471264,Master_and_Above
5.14,0.6022787028922,6.06,0.327586206896552,Plat_and_Diamond
5.23,0.672567922874671,4.89,0.135057471264368,Plat_and_Diamond
6.45,0.540490797546012,6.54,0.286637931034483,Plat_and_Diamond
6.04,0.577914110429448,7.65,0.387212643678161,Plat_and_Diamond
5.25,0.237248028045574,3.76,0.209770114942529,Gold_and_Under
6.49,0.0678352322524102,2.64,0.141882183908046,Gold_and_Under
7.23,0.537686240140228,4.58,0.314655172413793,Gold_and_Under
7.58,0.207274320771253,4.32,0.124281609195402,Gold_and_Under
